Date,Mainland China,Mainland China,Mainland China,Mainland China,Mainland China,Mainland China,Mainland China,Mainland China,Mainland China,Mainland China,Mainland China,Mainland China,Mainland China,Mainland China,Mainland China,Mainland China,Mainland China,Mainland China,Mainland China,Mainland China,Mainland China,Mainland China,Mainland China,Mainland China,Mainland China,Mainland China,Mainland China,Mainland China,Mainland China,Mainland China,Mainland China,Mainland China Total,Thailand,Japan,South Korea,Taiwan,US,US,US,Macau,Hong Kong,Singapore,Vietnam,France,Nepal,Malaysia,Canada,Canada,US,US,Australia,Australia,Australia,Cambodia,Sri Lanka,Germany,Finland,United Arab Emirates,Philippines,India,Canada,Italy,UK,Russia,Sweden,US,Spain,Australia,US,US,Belgium,US,Others,US,US,Egypt,Iran,US,US,Australia,US,Lebanon,US,US,Iraq,US,Oman,Afghanistan,Bahrain,Kuwait,Algeria,Croatia,Switzerland,Austria,Israel,Pakistan,Brazil,Georgia,Greece,North Macedonia,Norway,Romania,Denmark,Estonia,Netherlands,San Marino,Belarus,Canada,Iceland,Lithuania,Mexico,New Zealand,Nigeria,Australia,Ireland,Luxembourg,Monaco,Qatar,US,Ecuador,Azerbaijan,Czech Republic,Armenia,Dominican Republic,US,Indonesia,Portugal,Andorra,Australia,Latvia,Morocco,Saudi Arabia,Senegal,US,US,US,US,US,US,US,US,US,US,Argentina,Chile,Jordan,US,US,US,US,US,Ukraine,Other Locations
,Anhui,Beijing,Chongqing,Fujian,Gansu,Guangdong,Guangxi,Guizhou,Hainan,Hebei,Heilongjiang,Henan,Hubei,Hunan,Inner Mongolia,Jiangsu,Jiangxi,Jilin,Liaoning,Ningxia,Qinghai,Shaanxi,Shandong,Shanghai,Shanxi,Sichuan,Tianjin,Tibet,Xinjiang,Yunnan,Zhejiang,,,,,Taiwan,"King County, WA","Cook County, IL","Tempe, AZ",Macau,Hong Kong,,,,,,"Toronto, ON",British Columbia,"Orange, CA","Los Angeles, CA",New South Wales,Victoria,Queensland,,,,,,,,"London, ON",,,,,"Santa Clara, CA",,South Australia,"Boston, MA","San Benito, CA",,"Madison, WI",Diamond Princess cruise ship,"San Diego County, CA","San Antonio, TX",,,"Omaha, NE (From Diamond Princess)","Travis, CA (From Diamond Princess)",From Diamond Princess,"Lackland, TX (From Diamond Princess)",,"Humboldt County, CA","Sacramento County, CA",,Unassigned Location (From Diamond Princess),,,,,,,,,,,,,,,,,,,,,," Montreal, QC",,,,,,Western Australia,,,,,"Snohomish County, WA",,,,,,"Providence, RI",,,,Tasmania,,,,,"Grafton County, NH","Hillsborough, FL","New York City, NY","Placer County, CA","San Mateo, CA","Sarasota, FL","Sonoma County, CA","Umatilla, OR","Fulton County, GA","Washington County, OR",,,," Norfolk County, MA","Berkeley, CA","Maricopa County, AZ","Wake County, NC","Westchester County, NY",,
22-Jan,1,14,6,1,0,26,2,1,4,1,0,5,444,4,0,1,2,0,2,1,0,0,2,9,1,5,4,0,0,1,10,547,2,2,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
23-Jan,9,22,9,5,2,32,5,3,5,1,2,5,444,9,0,5,7,1,3,1,0,3,6,16,1,8,4,0,2,2,27,639,3,1,1,1,1,0,0,2,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
24-Jan,15,36,27,10,2,53,23,3,8,2,4,9,549,24,1,9,18,3,4,2,0,5,15,20,1,15,8,0,2,5,43,916,5,2,2,3,1,1,0,2,2,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25
25-Jan,39,41,57,18,4,78,23,4,19,8,9,32,761,43,7,18,18,4,17,3,1,15,27,33,6,28,10,0,3,11,62,1399,7,2,2,3,1,1,0,2,5,3,2,3,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35
26-Jan,60,68,75,35,7,111,36,5,22,13,15,83,1058,69,7,33,36,4,21,4,1,22,46,40,9,44,14,0,4,16,104,2062,8,4,3,4,1,1,1,5,8,4,2,3,1,4,1,0,1,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56
27-Jan,70,80,110,59,14,151,46,7,33,18,21,128,1423,100,11,47,72,6,27,7,6,35,75,53,13,69,23,0,5,26,128,2863,8,4,4,5,1,1,1,6,8,5,2,3,1,4,1,0,1,1,4,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64
28-Jan,106,91,132,80,19,207,51,9,40,33,33,168,3554,143,15,70,109,8,34,11,6,46,95,66,27,90,24,0,10,44,173,5494,14,7,4,8,1,1,1,7,8,7,2,4,1,4,1,1,1,1,4,1,0,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84
29-Jan,152,111,147,84,24,277,58,9,43,48,38,206,3554,221,16,99,109,9,39,12,6,56,130,96,27,108,27,0,13,55,296,6070,14,7,4,8,1,1,1,7,10,7,2,5,1,7,1,1,1,1,4,1,1,1,1,4,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96
30-Jan,200,114,182,101,26,354,78,12,46,65,44,278,4903,277,19,129,162,14,41,17,8,63,158,112,35,142,31,1,14,70,428,8124,14,11,4,9,1,1,1,7,10,10,2,5,1,8,1,1,1,1,4,2,3,1,1,4,1,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110
